family,n,p,weight,algo,ws_beta,comm_ratio,grid_side,median_cpu_sec,n_samples,rank
WS,240,0.14,uniform_1_9,ALT,0.05,,,0.0010737500015238766,1000,2
WS,240,0.14,uniform_1_9,A*,0.05,,,0.0020124790025874972,1000,3
WS,240,0.14,uniform_1_9,DIJKSTRA,0.05,,,0.0029700414997932967,1000,4
WS,240,0.14,uniform_1_9,BI_DIJKSTRA,0.1,,,0.0005710209989047144,1000,1
WS,240,0.14,uniform_1_9,ALT,0.1,,,0.001166853999166051,1000,2
WS,240,0.14,uniform_1_9,A*,0.1,,,0.002020082996750716,1000,3
WS,240,0.14,uniform_1_9,DIJKSTRA,0.1,,,0.0030850834991724696,1000,4
WS,240,0.14,uniform_1_9,BI_DIJKSTRA,0.3,,,0.0004120205012441147,1000,1
WS,240,0.14,uniform_1_9,ALT,0.3,,,0.0013173545012250543,1000,2
WS,240,0.14,uniform_1_9,A*,0.3,,,0.0017995415000768844,1000,3
WS,240,0.14,uniform_1_9,DIJKSTRA,0.3,,,0.003016437498445157,1000,4
GRID,36,0.06,uniform_1_9,BI_DIJKSTRA,,,6,4.2083502194145694e-05,1000,1
GRID,36,0.06,uniform_1_9,A*,,,6,6.199999916134402e-05,1000,2
GRID,36,0.06,uniform_1_9,DIJKSTRA,,,6,6.272900282056071e-05,1000,3
GRID,36,0.06,uniform_1_9,ALT,,,6,6.443799793487415e-05,1000,4
GRID,64,0.06,uniform_1_9,BI_DIJKSTRA,,,8,7.122900206013583e-05,1000,1
GRID,64,0.06,uniform_1_9,ALT,,,8,8.78965001902543e-05,1000,2
GRID,64,0.06,uniform_1_9,A*,,,8,0.00010718749763327651,1000,3
GRID,64,0.06,uniform_1_9,DIJKSTRA,,,8,0.00011429150254116394,1000,4
GRID,144,0.06,uniform_1_9,ALT,,,12,0.0001494999996793922,1000,1
GRID,144,0.06,uniform_1_9,BI_DIJKSTRA,,,12,0.00015318700025090948,1000,2
GRID,144,0.06,uniform_1_9,A*,,,12,0.0002424375015834812,1000,3
GRID,144,0.06,uniform_1_9,DIJKSTRA,,,12,0.0002713959984248504,1000,4
GRID,256,0.06,uniform_1_9,ALT,,,16,0.00023516650253441185,1000,1
GRID,256,0.06,uniform_1_9,BI_DIJKSTRA,,,16,0.0002823335016728379,1000,2
GRID,256,0.06,uniform_1_9,A*,,,16,0.00043616650145850144,1000,3
GRID,256,0.06,uniform_1_9,DIJKSTRA,,,16,0.0004971664966433309,1000,4
GRID,36,0.1,uniform_1_9,BI_DIJKSTRA,,,6,3.843749800580554e-05,1000,1
GRID,36,0.1,uniform_1_9,A*,,,6,6.0083501011831686e-05,1000,2
GRID,36,0.1,uniform_1_9,DIJKSTRA,,,6,6.175000089569949e-05,1000,3
